"interaction_id","timestamp","hotel_id","channel","language","request_type","complexity","hotel_name","city","country","hotel_type","rooms"
"INT2025_03_0016","2025-03-10 12:52:00","hotel_07","email","EN","info","complex","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_03_0017","2025-03-11 13:37:00","hotel_02","facebook","NO","spa_reservation","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_03_0019","2025-03-12 15:08:00","hotel_06","instagram","EN","booking","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_03_0022","2025-03-13 08:23:00","hotel_09","facebook","NO","info","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0025","2025-03-15 11:28:00","hotel_07","instagram","NO","service_request","complex","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_01_0171","2025-01-30 08:05:00","hotel_unknown","instagram","EN","check_in","simple","","","","",""
"INT2025_03_0028","2025-03-16 14:38:00","hotel_08","email","NO","info","complex","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_03_0029","2025-03-17 15:22:00","hotel_02","website_chat","EN","booking","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_03_0030","2025-03-17 16:14:00","hotel_06","instagram","NO","complaint","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_03_0036","2025-03-20 12:31:00","hotel_05","facebook","NO","technical_issue","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_03_0037","2025-03-21 13:48:00","hotel_11","email","EN","booking","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_03_0038","2025-03-21 15:04:00","hotel_03","website_chat","NO","check_out","complex","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_01_0249","2025-01-21 16:20:00","hotel_unknown","email","NO","technical_issue","simple","","","","",""
"INT2025_03_0040","2025-03-22 16:32:00","hotel_06","instagram","EN","info","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_03_0042","2025-03-23 08:37:00","hotel_08","email","EN","booking","simple","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_02_0014","2025-02-09 10:30:00","hotel_unknown","instagram","EN","service_request","simple","","","","",""
"INT2025_02_0018","2025-02-11 14:10:00","hotel_unknown","website_chat","NO","technical_issue","complex","","","","",""
"INT2025_03_0047","2025-03-26 13:33:00","hotel_05","email","NO","info","complex","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_03_0048","2025-03-26 14:47:00","hotel_10","website_chat","EN","complaint","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_02_0034","2025-02-19 10:30:00","hotel_unknown","website_chat","NO","info","simple","","","","",""
"INT2025_03_0052","2025-03-28 08:32:00","hotel_11","email","NO","service_request","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_02_0104","2025-02-26 10:20:00","hotel_unknown","website_chat","EN","spa_reservation","complex","","","","",""
"INT2025_03_0055","2025-03-30 11:38:00","hotel_08","instagram","NO","info","medium","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_02_0124","2025-02-08 10:25:00","hotel_unknown","website_chat","EN","check_in","medium","","","","",""
"INT2025_03_0057","2025-03-31 14:08:00","hotel_04","email","EN","check_in","simple","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_03_0058","2025-03-31 14:43:00","hotel_07","website_chat","NO","complaint","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_02_0182","2025-02-09 08:35:00","hotel_unknown","email","NO","check_in","complex","","","","",""
"INT2025_03_0061","2025-03-02 07:32:00","hotel_10","facebook","NO","spa_reservation","medium","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_02_0190","2025-02-13 16:35:00","hotel_unknown","instagram","NO","technical_issue","medium","","","","",""
"INT2025_02_0304","2025-02-14 10:25:00","hotel_06","website_chat","EN","service_request","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_02_0316","2025-02-20 12:50:00","hotel_unknown","facebook","NO","check_in","medium","","","","",""
"INT2025_03_0024","2025-03-14 10:57:00","hotel_unknown","website_chat","EN","booking","simple","","","","",""
"INT2025_03_0034","2025-03-19 10:44:00","hotel_unknown","website_chat","EN","info","simple","","","","",""
"INT2025_02_0308","2025-02-16 14:45:00","hotel_08","website_chat","NO","check_out","complex","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_03_0015","2025-03-10 11:33:00","hotel_09","website_chat","NO","check_in","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_02_0318","2025-02-21 14:40:00","hotel_11","website_chat","EN","booking","simple","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_03_0010","2025-03-07 18:18:00","hotel_06","website_chat","EN","booking","complex","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0148","2025-01-07 15:30:00","hotel_unknown","email","NO","service_request","medium","","","","",""
"INT2025_03_0020","2025-03-12 16:42:00","hotel_11","email","NO","service_request","simple","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_01_0236","2025-01-08 13:40:00","hotel_unknown","facebook","EN","service_request","complex","","","","",""
"INT2025_03_0032","2025-03-18 08:57:00","hotel_10","email","EN","service_request","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_03_0041","2025-03-23 07:21:00","hotel_02","facebook","NO","service_request","complex","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_03_0051","2025-03-28 07:16:00","hotel_06","facebook","EN","service_request","simple","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0156","2025-01-15 13:55:00","hotel_unknown","website_chat","NO","service_request","simple","","","","",""
"INT2025_03_0066","2025-03-04 13:08:00","hotel_09","facebook","EN","complaint","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0087","2025-03-15 14:08:00","hotel_09","email","EN","spa_reservation","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0070","2025-03-06 16:48:00","hotel_04","instagram","NO","spa_reservation","medium","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_03_0067","2025-03-05 13:43:00","hotel_02","email","NO","service_request","medium","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_03_0072","2025-03-07 08:43:00","hotel_05","email","EN","info","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_03_0075","2025-03-09 11:48:00","hotel_10","instagram","EN","check_out","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_03_0127","2025-03-04 13:43:00","hotel_09","email","NO","service_request","medium","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0079","2025-03-11 16:08:00","hotel_11","website_chat","NO","technical_issue","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_02_0196","2025-02-16 12:50:00","hotel_unknown","facebook","EN","service_request","medium","","","","",""
"INT2025_03_0081","2025-03-12 07:18:00","hotel_02","facebook","EN","info","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_03_0082","2025-03-12 08:33:00","hotel_08","email","NO","booking","medium","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_03_0063","2025-03-03 10:03:00","hotel_unknown","website_chat","EN","info","simple","","","","",""
"INT2025_03_0090","2025-03-16 16:13:00","hotel_unknown","instagram","EN","check_in","simple","","","","",""
"INT2025_03_0117","2025-03-30 14:08:00","hotel_unknown","email","EN","complaint","simple","","","","",""
"INT2025_03_0091","2025-03-17 07:32:00","hotel_06","facebook","NO","booking","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_03_0124","2025-03-02 10:38:00","hotel_unknown","website_chat","NO","check_in","medium","","","","",""
"INT2025_03_0094","2025-03-18 10:38:00","hotel_02","website_chat","NO","service_request","medium","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_03_0130","2025-03-05 16:48:00","hotel_unknown","instagram","NO","technical_issue","medium","","","","",""
"INT2025_03_0096","2025-03-19 13:08:00","hotel_12","facebook","EN","technical_issue","simple","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_03_0097","2025-03-20 13:43:00","hotel_04","email","NO","check_out","medium","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_03_0150","2025-03-15 16:13:00","hotel_unknown","instagram","EN","booking","simple","","","","",""
"INT2025_03_0099","2025-03-21 15:33:00","hotel_05","website_chat","EN","booking","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_03_0100","2025-03-21 16:48:00","hotel_07","instagram","NO","complaint","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_01_0063","2025-01-09 10:50:00","hotel_unknown","facebook","N/A","info","simple","","","","",""
"INT2025_01_0143","2025-01-31 10:35:00","hotel_unknown","email","N/A","info","complex","","","","",""
"INT2025_03_0105","2025-03-24 11:48:00","hotel_06","instagram","EN","technical_issue","simple","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_03_0106","2025-03-24 13:03:00","hotel_11","facebook","NO","info","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_01_0209","2025-01-10 16:15:00","hotel_unknown","instagram","N/A","technical_issue","complex","","","","",""
"INT2025_03_0109","2025-03-26 16:08:00","hotel_08","website_chat","NO","complaint","medium","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_02_0249","2025-02-15 15:20:00","hotel_unknown","website_chat","N/A","technical_issue","simple","","","","",""
"INT2025_03_0111","2025-03-27 07:18:00","hotel_04","facebook","EN","service_request","simple","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_03_0112","2025-03-27 08:33:00","hotel_07","email","NO","spa_reservation","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_02_0285","2025-02-05 11:35:00","hotel_unknown","instagram","N/A","booking","simple","","","","",""
"INT2025_03_0115","2025-03-29 11:38:00","hotel_10","instagram","NO","info","medium","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_03_0014","2025-03-09 10:41:00","hotel_unknown","instagram","N/A","service_request","simple","","","","",""
"INT2025_03_0018","2025-03-11 14:19:00","hotel_unknown","website_chat","N/A","technical_issue","complex","","","","",""
"INT2025_03_0120","2025-03-31 16:13:00","hotel_09","instagram","EN","service_request","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0121","2025-03-01 07:32:00","hotel_02","facebook","NO","spa_reservation","medium","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_03_0182","2025-03-31 08:48:00","hotel_unknown","email","N/A","check_in","complex","","","","",""
"INT2025_03_0209","2025-03-14 15:28:00","hotel_unknown","website_chat","N/A","booking","complex","","","","",""
"INT2025_03_0126","2025-03-03 13:08:00","hotel_05","facebook","EN","complaint","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_03_0236","2025-03-27 12:53:00","hotel_unknown","facebook","N/A","complaint","complex","","","","",""
"INT2025_03_0132","2025-03-06 08:43:00","hotel_11","email","EN","info","simple","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_04_0330","2025-04-17 16:20:00","hotel_unknown","instagram","N/A","service_request","simple","","","","",""
"INT2025_03_0135","2025-03-08 11:48:00","hotel_08","instagram","EN","check_in","simple","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_04_0357","2025-04-01 14:15:00","hotel_unknown","email","N/A","technical_issue","simple","","","","",""
"INT2025_03_0139","2025-03-10 16:08:00","hotel_05","website_chat","NO","technical_issue","medium","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_07_0013","2025-07-09 09:42:00","hotel_unknown","website_chat","N/A","complaint","medium","","","","",""
"INT2025_03_0141","2025-03-11 07:18:00","hotel_10","facebook","EN","booking","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_03_0142","2025-03-11 08:33:00","hotel_03","email","NO","check_out","medium","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_07_0028","2025-07-16 14:52:00","hotel_unknown","email","N/A","info","complex","","","","",""
"INT2025_03_0145","2025-03-13 11:38:00","hotel_11","instagram","NO","service_request","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_03_0069","2025-03-06 15:33:00","hotel_12","website_chat","EN","service_request","simple","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_03_0147","2025-03-14 14:08:00","hotel_02","email","EN","technical_issue","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_03_0114","2025-03-28 11:03:00","hotel_09","website_chat","EN","check_in","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0151","2025-03-16 07:32:00","hotel_07","facebook","NO","complaint","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_03_0073","2025-03-08 09:58:00","hotel_07","website_chat","NO","booking","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_03_0138","2025-03-09 14:53:00","hotel_09","website_chat","EN","spa_reservation","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0078","2025-03-10 14:53:00","hotel_06","website_chat","EN","spa_reservation","simple","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_03_0084","2025-03-13 11:03:00","hotel_04","website_chat","EN","check_out","simple","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_03_0088","2025-03-15 14:43:00","hotel_10","website_chat","NO","technical_issue","medium","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_03_0103","2025-03-23 09:58:00","hotel_03","website_chat","NO","service_request","medium","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_03_0076","2025-03-09 13:03:00","hotel_03","facebook","NO","service_request","medium","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_03_0085","2025-03-14 11:38:00","hotel_07","instagram","NO","service_request","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_03_0102","2025-03-22 08:43:00","hotel_10","email","EN","service_request","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_03_0136","2025-03-08 13:03:00","hotel_12","facebook","NO","service_request","medium","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_03_0144","2025-03-12 11:03:00","hotel_06","website_chat","EN","service_request","simple","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_03_0093","2025-03-18 10:03:00","hotel_09","website_chat","EN","service_request","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0204","2025-03-11 11:03:00","hotel_09","website_chat","EN","service_request","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0154","2025-03-17 10:38:00","hotel_10","website_chat","NO","service_request","medium","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_03_0229","2025-03-24 16:08:00","hotel_unknown","website_chat","NO","service_request","medium","","","","",""
"INT2025_03_0157","2025-03-19 13:43:00","hotel_06","email","NO","info","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_03_0187","2025-03-03 13:43:00","hotel_08","email","NO","service_request","medium","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_03_0159","2025-03-20 15:33:00","hotel_09","website_chat","EN","booking","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0160","2025-03-20 16:48:00","hotel_02","instagram","NO","complaint","medium","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_03_0162","2025-03-21 08:43:00","hotel_12","email","EN","service_request","simple","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_03_0232","2025-03-25 08:33:00","hotel_09","email","NO","technical_issue","medium","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0165","2025-03-23 11:48:00","hotel_05","instagram","EN","check_out","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_03_0166","2025-03-23 13:03:00","hotel_07","facebook","NO","info","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_03_0156","2025-03-18 13:08:00","hotel_unknown","facebook","EN","technical_issue","simple","","","","",""
"INT2025_03_0169","2025-03-25 16:08:00","hotel_unknown","website_chat","NO","check_in","medium","","","","",""
"INT2025_03_0172","2025-03-26 08:33:00","hotel_09","email","NO","spa_reservation","medium","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0171","2025-03-26 07:18:00","hotel_unknown","facebook","EN","service_request","simple","","","","",""
"INT2025_03_0174","2025-03-27 11:03:00","hotel_08","website_chat","EN","info","simple","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_03_0175","2025-03-28 11:38:00","hotel_12","instagram","NO","booking","medium","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_03_0190","2025-03-04 16:48:00","hotel_unknown","instagram","NO","technical_issue","medium","","","","",""
"INT2025_03_0177","2025-03-29 14:08:00","hotel_07","email","EN","complaint","simple","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_03_0196","2025-03-07 13:03:00","hotel_unknown","facebook","NO","service_request","medium","","","","",""
"INT2025_03_0180","2025-03-30 16:13:00","hotel_10","instagram","EN","spa_reservation","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_03_0181","2025-03-31 07:32:00","hotel_03","facebook","NO","technical_issue","medium","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_03_0222","2025-03-20 08:43:00","hotel_unknown","email","EN","spa_reservation","simple","","","","",""
"INT2025_03_0184","2025-03-01 10:38:00","hotel_11","website_chat","NO","booking","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_03_0186","2025-03-02 13:08:00","hotel_02","facebook","EN","check_out","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_07_0043","2025-07-24 10:07:00","hotel_unknown","website_chat","N/A","service_request","medium","","","","",""
"INT2025_03_0189","2025-03-04 15:33:00","hotel_04","website_chat","EN","spa_reservation","simple","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_03_0192","2025-03-05 08:43:00","hotel_07","email","EN","check_in","simple","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_07_0190","2025-07-04 17:02:00","hotel_unknown","instagram","N/A","technical_issue","medium","","","","",""
"INT2025_03_0199","2025-03-09 16:08:00","hotel_09","website_chat","NO","check_out","medium","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_07_0226","2025-07-22 13:17:00","hotel_unknown","facebook","N/A","booking","medium","","","","",""
"INT2025_03_0201","2025-03-10 07:18:00","hotel_08","facebook","EN","booking","simple","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_03_0202","2025-03-10 08:33:00","hotel_12","email","NO","complaint","medium","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_03_0205","2025-03-12 11:38:00","hotel_05","instagram","NO","service_request","medium","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_07_0241","2025-07-30 07:46:00","hotel_unknown","facebook","N/A","check_in","medium","","","","",""
"INT2025_03_0207","2025-03-13 14:08:00","hotel_10","email","EN","technical_issue","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_07_0247","2025-07-02 13:57:00","hotel_unknown","email","N/A","service_request","medium","","","","",""
"INT2025_03_0210","2025-03-14 16:13:00","hotel_06","instagram","EN","check_out","simple","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_03_0211","2025-03-15 07:32:00","hotel_11","facebook","NO","complaint","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_07_0268","2025-07-12 14:57:00","hotel_unknown","website_chat","N/A","booking","medium","","","","",""
"INT2025_03_0214","2025-03-16 10:38:00","hotel_08","website_chat","NO","spa_reservation","medium","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_07_0280","2025-07-18 17:02:00","hotel_unknown","instagram","N/A","service_request","medium","","","","",""
"INT2025_03_0216","2025-03-17 13:08:00","hotel_04","facebook","EN","check_in","simple","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_03_0217","2025-03-18 13:43:00","hotel_07","email","NO","info","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_07_0295","2025-07-26 11:52:00","hotel_unknown","instagram","N/A","complaint","medium","","","","",""
"INT2025_03_0219","2025-03-19 15:33:00","hotel_05","website_chat","EN","complaint","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_07_0310","2025-07-02 17:02:00","hotel_unknown","instagram","N/A","booking","medium","","","","",""
"INT2025_03_0225","2025-03-22 11:48:00","hotel_09","instagram","EN","info","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0226","2025-03-22 13:03:00","hotel_02","facebook","NO","booking","medium","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_07_0451","2025-07-11 07:43:00","hotel_unknown","facebook","N/A","check_in","medium","","","","",""
"INT2025_03_0231","2025-03-25 07:18:00","hotel_07","facebook","EN","spa_reservation","simple","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_03_0234","2025-03-26 11:03:00","hotel_10","website_chat","EN","booking","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_03_0235","2025-03-27 11:38:00","hotel_03","instagram","NO","check_out","medium","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_03_0193","2025-03-06 09:58:00","hotel_09","website_chat","NO","booking","medium","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0163","2025-03-22 09:58:00","hotel_04","website_chat","NO","spa_reservation","medium","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_03_0168","2025-03-24 14:53:00","hotel_03","website_chat","EN","complaint","simple","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_03_0183","2025-03-01 10:03:00","hotel_06","website_chat","EN","info","simple","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_07_0184","2025-07-01 10:52:00","hotel_unknown","website_chat","N/A","booking","medium","","","","",""
"INT2025_07_0199","2025-07-09 16:22:00","hotel_unknown","website_chat","N/A","check_out","medium","","","","",""
"INT2025_03_0198","2025-03-08 14:53:00","hotel_11","website_chat","EN","technical_issue","simple","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_03_0208","2025-03-13 14:43:00","hotel_03","website_chat","NO","info","medium","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_03_0195","2025-03-07 11:48:00","hotel_03","instagram","EN","service_request","simple","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_03_0220","2025-03-19 16:48:00","hotel_10","instagram","NO","service_request","medium","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_03_0153","2025-03-17 10:03:00","hotel_09","website_chat","EN","service_request","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0178","2025-03-29 14:43:00","hotel_09","website_chat","NO","service_request","medium","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0237","2025-03-28 14:08:00","hotel_06","email","EN","service_request","simple","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_07_0229","2025-07-24 16:22:00","hotel_unknown","website_chat","N/A","service_request","medium","","","","",""
"INT2025_03_0312","2025-03-03 08:43:00","hotel_09","email","EN","service_request","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0240","2025-03-29 16:13:00","hotel_02","instagram","EN","technical_issue","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_03_0241","2025-03-30 07:32:00","hotel_08","facebook","NO","check_in","medium","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_03_0244","2025-03-31 10:38:00","hotel_07","website_chat","NO","complaint","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_03_0247","2025-03-02 13:43:00","hotel_unknown","email","NO","service_request","medium","","","","",""
"INT2025_03_0249","2025-03-03 15:33:00","hotel_unknown","website_chat","EN","technical_issue","simple","","","","",""
"INT2025_03_0250","2025-03-03 16:48:00","hotel_06","instagram","NO","info","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_03_0252","2025-03-04 08:43:00","hotel_09","email","EN","check_in","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0246","2025-03-01 13:08:00","hotel_05","facebook","EN","service_request","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_03_0255","2025-03-06 11:48:00","hotel_12","instagram","EN","service_request","simple","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_03_0256","2025-03-06 13:03:00","hotel_04","facebook","NO","spa_reservation","medium","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_03_0276","2025-03-16 13:08:00","hotel_unknown","facebook","EN","check_in","simple","","","","",""
"INT2025_03_0259","2025-03-08 16:08:00","hotel_05","website_chat","NO","info","medium","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_03_0285","2025-03-21 11:48:00","hotel_unknown","instagram","EN","booking","simple","","","","",""
"INT2025_03_0261","2025-03-09 07:18:00","hotel_03","facebook","EN","complaint","simple","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_03_0262","2025-03-09 08:33:00","hotel_unknown","email","NO","service_request","medium","","","","",""
"INT2025_03_0264","2025-03-10 11:03:00","hotel_11","website_chat","EN","spa_reservation","simple","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_03_0265","2025-03-11 11:38:00","hotel_09","instagram","NO","technical_issue","medium","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_03_0316","2025-03-05 13:03:00","hotel_unknown","facebook","NO","check_in","medium","","","","",""
"INT2025_03_0267","2025-03-12 14:08:00","hotel_08","email","EN","info","simple","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_03_0322","2025-03-08 08:33:00","hotel_unknown","email","NO","service_request","medium","","","","",""
"INT2025_03_0270","2025-03-13 16:13:00","hotel_04","instagram","EN","complaint","simple","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_07_0466","2025-07-18 13:14:00","hotel_unknown","facebook","N/A","check_in","medium","","","","",""
"INT2025_03_0274","2025-03-15 10:38:00","hotel_10","website_chat","NO","technical_issue","medium","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_03_0277","2025-03-17 13:43:00","hotel_06","email","NO","booking","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_07_0478","2025-07-24 14:59:00","hotel_unknown","website_chat","N/A","complaint","medium","","","","",""
"INT2025_03_0280","2025-03-18 16:48:00","hotel_02","instagram","NO","service_request","medium","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_07_0493","2025-07-01 09:54:00","hotel_unknown","website_chat","N/A","booking","medium","","","","",""
"INT2025_03_0282","2025-03-19 08:43:00","hotel_12","email","EN","technical_issue","simple","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_07_0520","2025-07-14 16:29:00","hotel_unknown","instagram","N/A","complaint","medium","","","","",""
"INT2025_03_0286","2025-03-21 13:03:00","hotel_07","facebook","NO","complaint","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_07_0535","2025-07-22 11:24:00","hotel_unknown","instagram","N/A","booking","medium","","","","",""
